url,league_name,club
241,Spain Primera Division,FC Barcelona
11,English Premier League,Manchester United
5,English Premier League,Chelsea
243,Spain Primera Division,Real Madrid
1,English Premier League,Arsenal
9,English Premier League,Liverpool
22,German 1. Bundesliga,Borussia Dortmund
21,German 1. Bundesliga,FC Bayern München
10,English Premier League,Manchester City
73,French Ligue 1,Paris Saint-Germain
245,Holland Eredivisie,Ajax
240,Spain Primera Division,Atlético Madrid
191,Austrian Football Bundesliga,FC Red Bull Salzburg
44,Italian Serie A,Inter
47,Italian Serie A,Milan
45,Italian Serie A,Juventus
18,English Premier League,Tottenham Hotspur
112172,German 1. Bundesliga,RB Leipzig
1943,English Premier League,Bournemouth
48,Italian Serie A,Napoli
7,English Premier League,Everton
32,German 1. Bundesliga,Bayer 04 Leverkusen
52,Italian Serie A,Roma
34,German 1. Bundesliga,FC Schalke 04
95,English Premier League,Leicester City
461,Spain Primera Division,Valencia CF
110,English Premier League,Wolverhampton Wanderers
66,French Ligue 1,Olympique Lyonnais
19,English Premier League,West Ham United
110374,Italian Serie A,Fiorentina
247,Holland Eredivisie,PSV
1792,English Premier League,Norwich City
449,Spain Primera Division,Real Betis
1824,German 1. Bundesliga,Eintracht Frankfurt
38,German 1. Bundesliga,SV Werder Bremen
234,Portuguese Liga ZON SAGRES,SL Benfica
481,Spain Primera Division,Sevilla FC
69,French Ligue 1,AS Monaco
219,French Ligue 1,Olympique de Marseille
2,English Premier League,Aston Villa
13,English Premier League,Newcastle United
110679,German 3. Bundesliga,Bayern München II
236,Portuguese Liga ZON SAGRES,FC Porto
74,French Ligue 1,Stade Rennais FC
237,Portuguese Liga ZON SAGRES,Sporting CP
65,French Ligue 1,LOSC Lille
17,English Premier League,Southampton
39,Italian Serie A,Atalanta
23,German 1. Bundesliga,Borussia Mönchengladbach
50,Italian Serie A,Parma
457,Spain Primera Division,Real Sociedad
325,Turkish Süper Lig,Galatasaray SK
28,German 2. Bundesliga,Hamburger SV
10029,German 1. Bundesliga,TSG 1899 Hoffenheim
175,German 1. Bundesliga,VfL Wolfsburg
326,Turkish Süper Lig,Fenerbahçe SK
190,Italian Serie A,Brescia
448,Spain Primera Division,Athletic Club de Bilbao
8,English League Championship,Leeds United
1799,English Premier League,Crystal Palace
1795,English Premier League,Watford
166,German 1. Bundesliga,Hertha BSC
211,Croatian Prva HNL,Dinamo Zagreb
46,Italian Serie A,Lazio
1794,English Premier League,Sheffield United
144,English League Championship,Fulham
36,German 2. Bundesliga,VfB Stuttgart
1842,Italian Serie A,Cagliari
327,Turkish Süper Lig,Beşiktaş JK
113926,English League Two,Salford City
78,Scottish Premiership,Celtic
72,French Ligue 1,OGC Nice
229,Belgian Jupiler Pro League,RSC Anderlecht
1879,Mexican Liga MX,Club América
1877,Argentina Primera División,Boca Juniors
483,Spain Primera Division,Villarreal CF
105035,International,Netherlands
31,German 1. Bundesliga,1. FC Köln
101088,Argentina Primera División,Vélez Sarsfield
1370,International,Brazil
1808,English Premier League,Brighton & Hove Albion
1335,International,France
452,Spain Primera Division,RCD Espanyol
169,German 1. Bundesliga,1. FSV Mainz 05
246,Holland Eredivisie,Feyenoord
450,Spain Primera Division,RC Celta
25,German 1. Bundesliga,SC Freiburg
110556,Italian Serie A,Genoa
1337,International,Germany
462,Spain Primera Division,Real Valladolid CF
91,English League Championship,Derby County
1876,Argentina Primera División,River Plate
436,Turkish Süper Lig,Trabzonspor
1880,Mexican Liga MX,Guadalajara
453,Spain Primera Division,RCD Mallorca
1806,English League Championship,Stoke City
1790,English League One,Portsmouth
1819,French Ligue 1,AS Saint-Étienne
1796,English Premier League,Burnley
110636,German 1. Bundesliga,Fortuna Düsseldorf
1386,International,Mexico
189,Italian Serie A,Bologna
1318,International,England
71,French Ligue 1,FC Nantes
14,English League Championship,Nottingham Forest
101059,Ukrainian Premier League,Shakhtar Donetsk
1362,International,Spain
54,Italian Serie A,Torino
106,English League One,Sunderland
1960,English League Championship,Swansea City
59,French Ligue 1,FC Girondins de Bordeaux
100409,German 1. Bundesliga,FC Augsburg
697,USA Major League Soccer,LA Galaxy
1878,Mexican Liga MX,Cruz Azul
673,Belgian Jupiler Pro League,KRC Genk
1369,International,Argentina
1860,Spain Primera Division,Getafe CF
112885,USA Major League Soccer,Atlanta United
112996,USA Major League Soccer,Los Angeles FC
1354,International,Portugal
109,English League Championship,West Bromwich Albion
86,Scottish Premiership,Rangers FC
1032,Mexican Liga MX,Monterrey
1831,German 1. Bundesliga,1. FC Union Berlin
485,German 2. Bundesliga,Hannover 96
1906,Holland Eredivisie,AZ Alkmaar
1939,English League Championship,Huddersfield Town
55,Italian Serie A,Udinese
896,Swiss Super League,FC Basel 1893
101085,Argentina Primera División,Racing Club
1970,Mexican Liga MX,Tigres U.A.N.L.
242,Spanish Segunda División,Deportivo de La Coruña
94,English League One,Ipswich Town
1343,International,Italy
1028,Mexican Liga MX,Monarcas Morelia
1837,Italian Serie A,Sampdoria
76,French Ligue 1,RC Strasbourg Alsace
1629,Campeonato Brasileiro Série A,Grêmio
674,Belgian Jupiler Pro League,KAA Gent
231,Belgian Jupiler Pro League,Club Brugge KV
101014,Turkish Süper Lig,Medipol Başakşehir FK
1325,International,Belgium
1961,English League Championship,Cardiff City
315,Russian Premier League,PFC CSKA Moscow
1387,International,United States
110062,Spanish Segunda División,Girona FC
111974,Italian Serie A,Sassuolo
100761,Romanian Liga I,FCSB (Steaua)
112809,Portuguese Liga ZON SAGRES,Famalicão
70,French Ligue 1,Montpellier HSC
171,German 2. Bundesliga,1. FC Nürnberg
4,English League One,Bolton Wanderers
1925,English League Championship,Brentford
1853,Spain Primera Division,Levante UD
479,Spain Primera Division,CA Osasuna
101047,Ukrainian Premier League,Dynamo Kyiv
1809,French Ligue 1,Toulouse Football Club
110395,Argentina Primera División,Club Atlético Lanús
100767,Russian Premier League,Spartak Moscow
111839,Chinese Super League,Guangzhou Evergrande Taobao FC
573,Spanish Segunda División,Málaga CF
29,German 3. Bundesliga,1. FC Kaiserslautern
88,English League Championship,Birmingham City
3,English League Championship,Blackburn Rovers
12,English League Championship,Middlesbrough
280,Greek Super League,Olympiacos CFP
15,English League Championship,Queens Park Rangers
